<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.05	16:00:00	0.60842	0.61095	0.60822	0.60907	16521	0	5
2024.03.05	20:00:00	0.60906	0.60924	0.60809	0.60853	6803	0	5
2024.03.06	00:00:00	0.60868	0.60910	0.60684	0.60772	7330	0	5
2024.03.06	04:00:00	0.60772	0.60972	0.60763	0.60936	6500	0	5
2024.03.06	08:00:00	0.60937	0.61029	0.60914	0.61026	10455	0	5
2024.03.06	12:00:00	0.61025	0.61159	0.60961	0.61142	10433	0	5
2024.03.06	16:00:00	0.61143	0.61438	0.61123	0.61324	18707	0	5
2024.03.06	20:00:00	0.61321	0.61391	0.61258	0.61284	8336	0	5
2024.03.07	00:00:00	0.61253	0.61371	0.61226	0.61320	9864	0	5
2024.03.07	04:00:00	0.61320	0.61499	0.61267	0.61413	11357	0	5
2024.03.07	08:00:00	0.61412	0.61574	0.61391	0.61549	11289	0	5
2024.03.07	12:00:00	0.61551	0.61730	0.61537	0.61654	13231	0	5
2024.03.07	16:00:00	0.61653	0.61757	0.61558	0.61706	14412	0	5
2024.03.07	20:00:00	0.61706	0.61750	0.61700	0.61743	5202	0	5
2024.03.08	00:00:00	0.61723	0.61837	0.61609	0.61671	7249	0	5
2024.03.08	04:00:00	0.61670	0.61766	0.61636	0.61759	8059	0	5
2024.03.08	08:00:00	0.61759	0.61883	0.61707	0.61845	12025	0	5
2024.03.08	12:00:00	0.61846	0.62165	0.61718	0.61971	13622	0	5
2024.03.08	16:00:00	0.61971	0.62074	0.61732	0.61758	19908	0	5
2024.03.08	20:00:00	0.61760	0.61785	0.61685	0.61756	5861	0	5
2024.03.11	00:00:00	0.61731	0.61809	0.61670	0.61762	6424	0	5
2024.03.11	04:00:00	0.61761	0.61821	0.61677	0.61727	6122	0	5
2024.03.11	08:00:00	0.61727	0.61789	0.61662	0.61688	10291	0	5
2024.03.11	12:00:00	0.61688	0.61812	0.61678	0.61680	8196	0	5
2024.03.11	16:00:00	0.61680	0.61735	0.61600	0.61703	13304	0	5
2024.03.11	20:00:00	0.61704	0.61723	0.61624	0.61692	6834	0	5
2024.03.12	00:00:00	0.61670	0.61724	0.61650	0.61664	6406	0	5
2024.03.12	04:00:00	0.61664	0.61756	0.61638	0.61709	8417	0	5
2024.03.12	08:00:00	0.61709	0.61747	0.61608	0.61627	11533	0	5
2024.03.12	12:00:00	0.61628	0.61840	0.61355	0.61621	15762	0	5
2024.03.12	16:00:00	0.61620	0.61620	0.61352	0.61456	21099	0	5
2024.03.12	20:00:00	0.61456	0.61526	0.61387	0.61506	6230	0	5
2024.03.13	00:00:00	0.61472	0.61513	0.61449	0.61470	4273	0	5
2024.03.13	04:00:00	0.61470	0.61645	0.61448	0.61613	6834	0	5
2024.03.13	08:00:00	0.61612	0.61699	0.61566	0.61602	9463	0	5
2024.03.13	12:00:00	0.61601	0.61609	0.61485	0.61541	9860	0	5
2024.03.13	16:00:00	0.61543	0.61638	0.61532	0.61599	14308	0	5
2024.03.13	20:00:00	0.61599	0.61680	0.61540	0.61548	7146	0	5
2024.03.14	00:00:00	0.61537	0.61679	0.61527	0.61665	6047	0	5
2024.03.14	04:00:00	0.61665	0.61751	0.61535	0.61599	5596	0	5
2024.03.14	08:00:00	0.61597	0.61642	0.61555	0.61594	10706	0	5
2024.03.14	12:00:00	0.61596	0.61730	0.61536	0.61586	13584	0	5
2024.03.14	16:00:00	0.61586	0.61618	0.61222	0.61349	18542	0	5
2024.03.14	20:00:00	0.61349	0.61363	0.61212	0.61303	6853	0	5
2024.03.15	00:00:00	0.61309	0.61323	0.61054	0.61061	4697	0	5
2024.03.15	04:00:00	0.61060	0.61095	0.60951	0.61021	7647	0	5
2024.03.15	08:00:00	0.61023	0.61065	0.60899	0.60915	9859	0	5
2024.03.15	12:00:00	0.60917	0.61031	0.60899	0.60959	9030	0	5
2024.03.15	16:00:00	0.60960	0.61035	0.60823	0.60831	13289	0	5
2024.03.15	20:00:00	0.60832	0.60894	0.60806	0.60850	5275	0	5
2024.03.18	00:00:00	0.60862	0.60888	0.60785	0.60846	6069	0	5
2024.03.18	04:00:00	0.60845	0.60987	0.60799	0.60931	8684	0	5
2024.03.18	08:00:00	0.60932	0.60998	0.60865	0.60987	9154	0	5
2024.03.18	12:00:00	0.60988	0.60999	0.60887	0.60907	9332	0	5
2024.03.18	16:00:00	0.60906	0.60945	0.60794	0.60802	10448	0	4
2024.03.18	20:00:00	0.60801	0.60849	0.60771	0.60846	4723	0	5
2024.03.19	00:00:00	0.60838	0.60864	0.60708	0.60742	4071	0	5
2024.03.19	04:00:00	0.60741	0.60825	0.60611	0.60618	12132	0	5
2024.03.19	08:00:00	0.60617	0.60624	0.60413	0.60474	10565	0	5
2024.03.19	12:00:00	0.60475	0.60531	0.60338	0.60517	10303	0	5
2024.03.19	16:00:00	0.60517	0.60566	0.60431	0.60525	10352	0	5
2024.03.19	20:00:00	0.60526	0.60566	0.60492	0.60518	5068	0	5
2024.03.20	00:00:00	0.60527	0.60553	0.60370	0.60465	5759	0	5
2024.03.20	04:00:00	0.60467	0.60555	0.60394	0.60398	9888	0	5
2024.03.20	08:00:00	0.60397	0.60498	0.60330	0.60366	7115	0	5
2024.03.20	12:00:00	0.60365	0.60369	0.60242	0.60301	6865	0	5
2024.03.20	16:00:00	0.60301	0.60389	0.60265	0.60388	8359	0	5
2024.03.20	20:00:00	0.60389	0.60849	0.60263	0.60803	19625	0	5
2024.03.21	00:00:00	0.60807	0.60922	0.60536	0.60883	9005	0	5
2024.03.21	04:00:00	0.60884	0.61008	0.60863	0.60939	7833	0	5
2024.03.21	08:00:00	0.60939	0.61065	0.60824	0.60854	11398	0	5
2024.03.21	12:00:00	0.60853	0.60938	0.60719	0.60737	13400	0	5
2024.03.21	16:00:00	0.60737	0.60739	0.60428	0.60439	16123	0	5
2024.03.21	20:00:00	0.60438	0.60450	0.60381	0.60437	4201	0	5
2024.03.22	00:00:00	0.60434	0.60517	0.60414	0.60493	4950	0	5
2024.03.22	04:00:00	0.60493	0.60506	0.60104	0.60115	11669	0	5
2024.03.22	08:00:00	0.60116	0.60179	0.60028	0.60086	11053	0	5
2024.03.22	12:00:00	0.60087	0.60146	0.59984	0.60102	10549	0	5
2024.03.22	16:00:00	0.60102	0.60163	0.59920	0.59950	11419	0	5
2024.03.22	20:00:00	0.59952	0.59981	0.59890	0.59932	3126	0	5
2024.03.25	00:00:00	0.59940	0.59958	0.59854	0.59928	4416	0	5
2024.03.25	04:00:00	0.59927	0.60126	0.59908	0.59972	10732	0	5
2024.03.25	08:00:00	0.59973	0.60056	0.59886	0.60027	7334	0	5
2024.03.25	12:00:00	0.60027	0.60086	0.59985	0.60022	6875	0	5
2024.03.25	16:00:00	0.60023	0.60117	0.60003	0.60024	10009	0	5
2024.03.25	20:00:00	0.60024	0.60046	0.59995	0.60029	3113	0	5
2024.03.26	00:00:00	0.60034	0.60071	0.59959	0.60066	4242	0	5
2024.03.26	04:00:00	0.60066	0.60137	0.60011	0.60051	8664	0	5
2024.03.26	08:00:00	0.60051	0.60175	0.60030	0.60168	8315	0	5
2024.03.26	12:00:00	0.60168	0.60304	0.60147	0.60180	9221	0	5
2024.03.26	16:00:00	0.60179	0.60206	0.60063	0.60077	10026	0	5
2024.03.26	20:00:00	0.60076	0.60120	0.59999	0.60040	3966	0	5
2024.03.27	00:00:00	0.60049	0.60074	0.59961	0.59991	5324	0	5
2024.03.27	04:00:00	0.59991	0.60006	0.59875	0.59993	9472	0	5
2024.03.27	08:00:00	0.59993	0.60065	0.59957	0.59977	8777	0	5
2024.03.27	12:00:00	0.59977	0.60102	0.59940	0.59948	9315	0	5
2024.03.27	16:00:00	0.59947	0.60084	0.59934	0.59989	11348	0	5
2024.03.27	20:00:00	0.59988	0.60044	0.59956	0.60041	4949	0	5
2024.03.28	00:00:00	0.60050	0.60050	0.59800	0.59904	6364	0	5
2024.03.28	04:00:00	0.59904	0.60039	0.59848	0.59914	9272	0	5
2024.03.28	08:00:00	0.59916	0.59969	0.59632	0.59635	10295	0	5
2024.03.28	12:00:00	0.59635	0.59732	0.59560	0.59726	9223	0	5
2024.03.28	16:00:00	0.59726	0.59875	0.59704	0.59815	14393	0	5
2024.03.28	20:00:00	0.59815	0.59842	0.59709	0.59721	4508	0	5
2024.03.29	00:00:00	0.59731	0.59785	0.59695	0.59752	1357	0	5
2024.03.29	04:00:00	0.59746	0.59764	0.59694	0.59712	753	0	5
2024.03.29	08:00:00	0.59712	0.59728	0.59667	0.59713	810	0	5
2024.03.29	12:00:00	0.59714	0.59884	0.59705	0.59823	1734	0	5
2024.03.29	16:00:00	0.59824	0.59875	0.59795	0.59802	1022	0	5
2024.03.29	20:00:00	0.59805	0.59848	0.59697	0.59765	3091	0	5
